
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
98:DE:D0:AE:5F:8C, 2025-11-10 21:24:10, 2025-11-10 21:24:14, 11, 270, WPA2, CCMP TKIP, PSK, -66,       13,        3,   0.  0.  0.  0,  14, TP-LINK_AE5F8C, 
BC:CF:4F:6B:08:74, 2025-11-10 21:24:10, 2025-11-10 21:24:14, 11, 195, WPA2, CCMP, PSK, -79,        8,        0,   0.  0.  0.  0,   6, Bitwig, 
1C:ED:6F:08:0C:CF, 2025-11-10 21:24:10, 2025-11-10 21:24:14,  1, 360, WPA2, CCMP, PSK, -75,        5,        0,   0.  0.  0.  0,   6, deblik, 
74:42:7F:01:78:8D, 2025-11-10 21:24:10, 2025-11-10 21:24:11,  1, 130, WPA2, CCMP, PSK, -85,        3,        0,   0.  0.  0.  0,  17, FRITZ!Box 7530 SO, 
50:68:0A:64:FA:BD, 2025-11-10 21:24:10, 2025-11-10 21:24:12,  1, 130, WPA2, CCMP, PSK, -78,        4,        2,   0.  0.  0.  0,  11, WLAN-94DTGG, 
8C:6A:8D:99:E5:50, 2025-11-10 21:24:10, 2025-11-10 21:24:15,  1, 260, WPA2, CCMP, PSK, -75,        4,        3,   0.  0.  0.  0,  13, Vodafone-E54C, 
8E:6A:8D:99:E5:52, 2025-11-10 21:24:10, 2025-11-10 21:24:12,  1, 260, OPN, ,   , -71,        4,        3,   0.  0.  0.  0,  17, Vodafone Homespot, 
8E:6A:8D:99:E5:54, 2025-11-10 21:24:10, 2025-11-10 21:24:12,  1, 260, OPN, ,   , -70,        6,        3,   0.  0.  0.  0,  16, Vodafone Hotspot, 
2C:3A:FD:B6:65:BB, 2025-11-10 21:24:10, 2025-11-10 21:24:10,  1, 360, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,  17, FRITZ!Box 7530 SF, 
8E:ED:6F:08:0C:CF, 2025-11-10 21:24:10, 2025-11-10 21:24:14,  1, 360, OPN, ,   , -74,        4,        0,   0.  0.  0.  0,  16, Vodafone Hotspot, 
62:B5:8D:95:6E:56, 2025-11-10 21:24:11, 2025-11-10 21:24:11,  7, 360, WPA2, CCMP, PSK, -80,        3,        0,   0.  0.  0.  0,  23, TwentyTwentyVision_Gast, 
60:B5:8D:95:6E:56, 2025-11-10 21:24:11, 2025-11-10 21:24:11,  7, 360, WPA2, CCMP, PSK, -80,        2,        0,   0.  0.  0.  0,  17, FRITZ!Box 5530 TA, 
78:45:58:69:7A:71, 2025-11-10 21:24:11, 2025-11-10 21:24:14,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -78,        5,        0,   0.  0.  0.  0,  10, umd-office, 
